Ticker,Asset,Role,Metric,Model,Value,Rank
XOM,Exxon Mobil,Stock,MAE,GARCH,2.3253767357856447,1
XOM,Exxon Mobil,Stock,MAE,Historical Variance,2.3295323858163486,2
XOM,Exxon Mobil,Stock,MAE,Random Forest,2.371037623247625,3
XOM,Exxon Mobil,Stock,MAE,LSTM,2.78471699271938,4
XOM,Exxon Mobil,Stock,QLIKE,Random Forest,1.7373432065753833,1
XOM,Exxon Mobil,Stock,QLIKE,GARCH,1.7377641428914004,2
XOM,Exxon Mobil,Stock,QLIKE,Historical Variance,1.7611479756371726,3
XOM,Exxon Mobil,Stock,QLIKE,LSTM,1.8225911621361244,4
^GSPC,S&P 500,Benchmark,RMSE,LSTM,3.7596679958396573,1
^GSPC,S&P 500,Benchmark,RMSE,GARCH,3.7972172508684685,2
^GSPC,S&P 500,Benchmark,RMSE,Historical Variance,3.9461880118142014,3
^GSPC,S&P 500,Benchmark,RMSE,Random Forest,4.1469681368905755,4
^GSPC,S&P 500,Benchmark,MAE,LSTM,0.9407984897540206,1
^GSPC,S&P 500,Benchmark,MAE,GARCH,1.131641599171129,2
^GSPC,S&P 500,Benchmark,MAE,Historical Variance,1.154990016947104,3
^GSPC,S&P 500,Benchmark,MAE,Random Forest,1.1953732159753485,4
^GSPC,S&P 500,Benchmark,QLIKE,LSTM,0.6319534481503737,1
^GSPC,S&P 500,Benchmark,QLIKE,Random Forest,0.711634521154872,2
^GSPC,S&P 500,Benchmark,QLIKE,GARCH,0.7363238980359751,3
^GSPC,S&P 500,Benchmark,QLIKE,Historical Variance,0.868669142617824,4
